program_id	GO_BP	synGO	LoF
2	GOBP_OXIDATIVE_PHOSPHORYLATION (9.26e-36) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.02e-32) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (1.40e-32) | GOBP_ELECTRON_TRANSPORT_CHAIN (5.66e-30) | GOBP_ATP_BIOSYNTHETIC_PROCESS (1.57e-29)	postsynaptic proteasome (2.83e-12) | presynaptic proteasome (2.83e-12) | protein catabolic process at presynapse (GO:0140247) (1.35e-11) | protein catabolic process at postsynapse (GO:0140249) (2.75e-11) | postsynaptic ribosome (3.32e-03)	POGZ (-1.02); SNAP25 (-1.21); VEZF1 (-0.90)
3	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION (9.78e-04) | GOBP_NITROGEN_COMPOUND_TRANSPORT (6.57e-03) | GOBP_PROTEIN_TRANSPORT (6.57e-03) | GOBP_INTRACELLULAR_TRANSPORT (1.11e-02) | GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE (1.13e-02)	structural constituent of postsynaptic density (GO:0098919) (2.47e-03) | structural constituent of active zone (GO:0098882) (5.87e-02) | postsynaptic density (GO:0014069) (1.90e-01)	MEIS2 (0.84); WAC (0.93); ZNF823 (1.14)
4	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (2.67e-06) | GOBP_PROTON_TRANSMEMBRANE_TRANSPORT (1.13e-05) | GOBP_ATP_BIOSYNTHETIC_PROCESS (3.89e-05) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (5.21e-05) | GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE (3.37e-04)	synaptic vesicle proton loading (GO:0097401) (9.66e-03) | postsynaptic proteasome (3.46e-02) | presynaptic proteasome (3.46e-02) | protein catabolic process at presynapse (GO:0140247) (1.32e-01) | protein catabolic process at postsynapse (GO:0140249) (1.42e-01)	CHD8 (1.05); TRIO (0.65)
5	GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (8.68e-10) | GOBP_CYTOPLASMIC_TRANSLATION (8.68e-10) | GOBP_OXIDATIVE_PHOSPHORYLATION (1.53e-09) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.64e-09) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (2.71e-08)	postsynaptic ribosome (3.57e-12) | presynaptic ribosome (3.57e-12) | translation at presynapse (GO:0140236) (3.57e-12) | translation at postsynapse (GO:0140242) (3.57e-12) | synapse (GO:0045202) (3.64e-06)	AUTS2 (-1.11); CUL3 (-0.95); KMT2A (-1.10); NF1 (-1.60); NIPBL (-1.63); PHF21A (-1.52); PTEN (-1.37); RFX3 (-1.48); SCN1A (-0.96)
6	GOBP_TRANSLATION (7.62e-09) | GOBP_CYTOPLASMIC_TRANSLATION (3.10e-06) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (9.60e-05) | GOBP_MITOCHONDRIAL_TRANSLATION (1.42e-04) | GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS (2.10e-04)	postsynaptic ribosome (1.19e-06) | presynaptic ribosome (1.19e-06) | translation at presynapse (GO:0140236) (1.19e-06) | translation at postsynapse (GO:0140242) (1.19e-06) | synapse (GO:0045202) (2.27e-04)	DDX3X (1.57)
7	GOBP_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS (3.37e-08) | GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_HOMEOSTASIS (3.37e-08) | GOBP_OXIDATIVE_PHOSPHORYLATION (5.46e-08) | GOBP_NEGATIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION (1.30e-07) | GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION (1.27e-06)	postsynaptic proteasome (5.57e-09) | presynaptic proteasome (5.57e-09) | protein catabolic process at presynapse (GO:0140247) (2.87e-07) | protein catabolic process at postsynapse (GO:0140249) (4.84e-07) | postsynaptic cytosol (GO:0099524) (5.75e-02)	CUL3 (-1.48); DSCAM (-1.18); DYRK1A (-1.04); KMT2A (-1.35); NIPBL (-1.16); PHF21A (-1.46); RFX3 (-1.37); SATB2 (-1.21); TLK2 (-1.37)
8	GOBP_CYTOPLASMIC_TRANSLATION (3.97e-12) | GOBP_TRANSLATION (2.68e-10) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (4.99e-10) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (4.76e-09) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (4.76e-09)	postsynaptic ribosome (4.75e-10) | presynaptic ribosome (4.75e-10) | translation at presynapse (GO:0140236) (4.75e-10) | translation at postsynapse (GO:0140242) (4.75e-10) | postsynaptic proteasome (1.84e-05)	CEP128 (-0.93); DNMT3A (-0.81); MED13 (-0.91); POGZ (-0.97)
10	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT (2.64e-05) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (1.63e-02) | GOBP_ATP_BIOSYNTHETIC_PROCESS (1.63e-02) | GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS (1.63e-02) | GOBP_CYTOPLASMIC_TRANSLATION (1.63e-02)	synapse (GO:0045202) (1.96e-01) | protein catabolic process at postsynapse (GO:0140249) (1.96e-01) | regulation of synaptic vesicle endocytosis (GO:1900242) (1.96e-01) | translation at postsynapse (GO:0140242) (1.96e-01) | postsynaptic proteasome (1.96e-01)	CHD8 (1.02); DLL1 (1.17)
12	GOBP_CYTOPLASMIC_TRANSLATION (1.96e-06) | GOBP_TRANSLATION (5.65e-05) | GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS (5.65e-05) | GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING (1.96e-04) | GOBP_OXIDATIVE_PHOSPHORYLATION (7.46e-04)	postsynaptic ribosome (7.57e-08) | presynaptic ribosome (7.57e-08) | translation at presynapse (GO:0140236) (7.57e-08) | translation at postsynapse (GO:0140242) (7.57e-08) | synapse (GO:0045202) (2.79e-05)	KCNQ3 (-1.21)
13	 ()	 ()	CACNA1G (-1.53); GABRA1 (2.39)
